"CountryNum","StateNum","Route","RouteName","Active","Stratum","BCR","RouteTypeID","RouteTypeDetailID","pt_id","name_clean...12","rteno","RTENAME","SUM_ARC_LE","MIN_rte_le","MAX_rte_le","MIN_date_a","MAX_date_a","line_id","name_clean...21","dist_m"
840,"03","903","KUSKULANA",1,68,4,1,2,253,"kuskulana",3903,"MCCARTHY RD1",39157.195,39157.2,39157.2,2001,2001,238,"mccarthy rd1",351.733548995105
840,"14","437","Stonyford",1,92,32,1,1,1081,"stonyford",14432,"HOUGH SPRINGS",62981.6,62981.7,62981.7,1998,1998,632,"hough springs",60.6881388355923
840,"17","304","COMANCHE PK",1,62,16,1,1,1196,"comanche pk",17004,"HARMONY",41825.3,41825.3,41825.3,1998,1998,651,"harmony",157.124299489369
840,"17","377","BLACK SULPHUR CR",1,84,16,1,1,1239,"black sulphur cr",17358,"PICEANCE BASIN",40208.18,40208.18,40208.18,2001,2001,772,"piceance basin",11.2030341942893
840,"25","107","NEW HOPE",0,3,27,1,1,1373,"new hope",25007,"SEMINOLE HLS",38068.6,38068.6,38068.6,1998,1998,836,"seminole hls",41.7775739312211
840,"33","030","Baldy Mountain",1,64,10,1,1,1563,"baldy mountain",33008,"GOLDEN",49895.5,49895.5,49895.5,1998,1998,1060,"golden",7.81792501201225
840,"33","117","MORA",1,89,9,1,1,1566,"mora",33017,"BLACKS CREEK",37663.5,37663.5,37663.5,1998,1998,1068,"blacks creek",75.2565598069833
840,"35","043","New Brunswick",1,31,22,1,1,1747,"new brunswick",35410,"MAPLEWOOD",43651.23,43651.23,43651.23,2001,2001,1282,"maplewood",3.90470401025504
840,"39","014","WARFIELD",0,21,28,1,1,1893,"warfield",39014,"PAINTSVILLE",39915.457,39915.46,39915.46,2001,2001,1402,"paintsville",69.3041772283113
840,"39","128","Brownsville",1,14,24,1,1,1937,"brownsville",39028,"DEMUNBRUNS",39761,39761,39761,1998,1998,1416,"demunbruns",10.2214785998732
840,"42","057","FROGMORE",1,5,26,1,1,1994,"frogmore",42057,"DUNBARTON",40536.098,40536.1,40536.1,2001,2001,1498,"dunbarton",35.3384931004849
840,"42","060","TRANSYLVANIA",1,5,26,1,1,1997,"transylvania",42060,"HIGHLAND",56909.727,56909.73,56909.73,2001,2001,1501,"highland",0.68187493465083
840,"46","056","Forest Grove",1,4,30,1,1,2312,"forest grove",46028,"LA PLATA",41927.3,41927.3,41927.3,1998,1998,1660,"la plata",29.6430439385316
840,"46","059","Furnace Town",1,4,30,1,1,2315,"furnace town",46149,"BERLIN",40241.8,40241.8,40241.8,1998,1998,1698,"berlin",774.434571717984
840,"46","152","EARLTON",1,10,29,1,1,2328,"earlton",46020,"VAN BIBBER",39314.4,39314.4,39314.4,1998,1998,1652,"van bibber",5.73463640126833
840,"46","999","Test Route 2019",0,4,30,1,2,2333,"test route 2019",46025,"BROOMES ISL",38402.5,38402.5,38402.5,1998,1998,1657,"broomes isl",960.996649374395
840,"50","063","BROOK PARK",1,20,23,1,1,2536,"brook park",50063,"PINE CITY",49965.1,49965.1,49965.1,1998,1998,1899,"pine city",2.17747450332443
840,"63","129","AYDLETT",0,3,27,1,1,3438,"aydlett",63229,"JARVISBURG",71328.3,71328.3,71328.3,1998,1998,2568,"jarvisburg",0.0558901934949308
840,"69","244","CINDERELLA",1,93,5,1,1,4148,"cinderella",69244,"FISH LAKE",39855.2,39855.2,39855.2,1998,1998,2936,"fish lake",28.073925763395
840,"92","166","SAVAGETON",1,39,17,1,1,5758,"savageton",92066,"PINE TREE",39842.7,39842.7,39842.7,1998,1998,4050,"pine tree",12.8121796469067
