"pt_id","name_clean","line_id","dist_start","dist_end","dist_closer_endpoint","CountryNum","StateNum","Route","RouteName","Active","Stratum","BCR","RouteTypeID","RouteTypeDetailID","name_clean.pt","rteno","RTENAME","SUM_ARC_LE","MIN_rte_le","MAX_rte_le","MIN_date_a","MAX_date_a","name_clean.line"
91,"vernon",86,2797.63402214532,40428.1183984645,2797.63402214532,840,"02","205","VERNON",1,4,27,1,1,"vernon",2205,"VERNON",44838.8,44838.8,44838.8,1998,1998,"vernon"
95,"wedowee",90,2511.96522708966,40922.6734256515,2511.96522708966,840,"02","209","WEDOWEE",1,11,29,1,1,"wedowee",2209,"WEDOWEE",49936.3,49936.3,49936.3,1998,1998,"wedowee"
96,"gastonburg",91,6717.16447900145,51902.8028804284,6717.16447900145,840,"02","210","GASTONBURG",1,4,27,1,1,"gastonburg",2210,"GASTONBURG",53807.3,53807.3,53807.3,1998,1998,"gastonburg"
99,"citronelle",94,3726.72629319547,51284.4684720957,3726.72629319547,840,"02","213","CITRONELLE",1,4,27,1,1,"citronelle",2213,"CITRONELLE",53159,53159,53159,1998,1998,"citronelle"
108,"riverside",102,29410.6945562649,1922.69969455169,1922.69969455169,840,"02","751","RIVERSIDE",0,13,28,2,2,"riverside",2751,"RIVERSIDE",39701.953,39701.95,39701.95,2001,2001,"riverside"
109,"sprott cahaba riv",103,1861.58340063272,8951.95911089767,1861.58340063272,840,"02","752","SPROTT-CAHABA RIV",0,4,27,2,2,"sprott cahaba riv",2752,"SPROTT-CAHABA RIV",10341.525,10341.53,10341.53,2001,2001,"sprott cahaba riv"
128,"seward",120,6289.40202395078,75436.5482629623,6289.40202395078,840,"03","016","SEWARD",0,96,5,1,1,"seward",3016,"SEWARD",41017.113,41017.11,41017.11,2001,2001,"seward"
133,"juneau",124,1529.47950639866,61722.2950907112,1529.47950639866,840,"03","021","JUNEAU",1,94,5,1,1,"juneau",3021,"JUNEAU",39618.887,39618.89,39618.89,2001,2001,"juneau"
141,"kodiak",131,41420.0033009942,15421.8316698559,15421.8316698559,840,"03","031","KODIAK",0,96,2,1,1,"kodiak",3031,"KODIAK",23449.686,23449.69,23449.69,2001,2001,"kodiak"
164,"thorne bay",154,1016.3211811425,37302.0190299842,1016.3211811425,840,"03","123","THORNE BAY",0,94,5,1,1,"thorne bay",3123,"THORNE BAY",38486.457,38486.46,38486.46,2001,2001,"thorne bay"
166,"yakutat",156,1890.39794637753,27491.1399723332,1890.39794637753,840,"03","125","YAKUTAT",1,94,5,1,1,"yakutat",3125,"YAKUTAT",38336.656,38336.66,38336.66,2001,2001,"yakutat"
